x,y
1.0,2.7755575615628914e-17
2.0,2.7755575615628914e-17
3.0,5.551115123125783e-17
4.0,5.551115123125783e-17
5.0,2.7755575615628914e-17
6.0,-1.3877787807814457e-17
7.0,0.0
8.0,2.7755575615628914e-17
9.0,0.0
10.0,-1.3877787807814457e-17
11.0,6.938893903907228e-17
12.0,0.0
13.0,6.938893903907228e-17
14.0,8.326672684688674e-17
15.0,-2.7755575615628914e-17
16.0,5.551115123125783e-17
17.0,0.0
18.0,-2.7755575615628914e-17
19.0,1.3877787807814457e-17
20.0,6.938893903907228e-17
21.0,8.326672684688674e-17
22.0,-1.3877787807814457e-17
23.0,2.7755575615628914e-17
24.0,6.938893903907228e-17
25.0,5.551115123125783e-17
26.0,4.163336342344337e-17
27.0,2.7755575615628914e-17
28.0,2.7755575615628914e-17
29.0,5.551115123125783e-17
30.0,0.0
31.0,1.3877787807814457e-17
32.0,5.551115123125783e-17
33.0,-2.7755575615628914e-17
34.0,5.551115123125783e-17
35.0,1.3877787807814457e-17
36.0,2.7755575615628914e-17
37.0,4.163336342344337e-17
38.0,0.0
39.0,-1.3877787807814457e-17
40.0,-1.3877787807814457e-17
41.0,1.3877787807814457e-17
42.0,2.7755575615628914e-17
43.0,1.3877787807814457e-17
44.0,4.163336342344337e-17
45.0,4.163336342344337e-17
46.0,6.938893903907228e-17
47.0,0.0
48.0,2.7755575615628914e-17
49.0,4.163336342344337e-17
50.0,2.7755575615628914e-17
51.0,1.3877787807814457e-17
52.0,5.551115123125783e-17
53.0,-1.3877787807814457e-17
54.0,2.7755575615628914e-17
55.0,0.0
56.0,2.7755575615628914e-17
57.0,4.163336342344337e-17
58.0,-1.3877787807814457e-17
59.0,-1.3877787807814457e-17
60.0,-1.3877787807814457e-17
61.0,0.0
62.0,1.3877787807814457e-17
63.0,0.0
64.0,6.938893903907228e-17
65.0,-1.3877787807814457e-17
66.0,1.3877787807814457e-17
67.0,5.551115123125783e-17
68.0,-1.3877787807814457e-17
69.0,-2.7755575615628914e-17
70.0,0.0
71.0,2.7755575615628914e-17
72.0,0.0
73.0,1.3877787807814457e-17
74.0,4.163336342344337e-17
75.0,4.163336342344337e-17
76.0,-1.3877787807814457e-17
77.0,2.7755575615628914e-17
78.0,4.163336342344337e-17
79.0,2.7755575615628914e-17
80.0,1.3877787807814457e-17
81.0,0.0
82.0,-6.938893903907228e-18
83.0,0.0
84.0,1.3877787807814457e-17
85.0,0.0
86.0,-6.938893903907228e-18
87.0,2.7755575615628914e-17
88.0,-6.938893903907228e-18
89.0,3.469446951953614e-17
90.0,3.469446951953614e-17
91.0,0.0
92.0,2.0816681711721685e-17
93.0,-1.3877787807814457e-17
94.0,0.0
95.0,0.0
96.0,0.0
97.0,6.938893903907228e-18
98.0,1.3877787807814457e-17
99.0,1.3877787807814457e-17
100.0,2.0816681711721685e-17
101.0,2.0816681711721685e-17
102.0,2.0816681711721685e-17
103.0,1.3877787807814457e-17
104.0,2.0816681711721685e-17
105.0,1.3877787807814457e-17
106.0,1.3877787807814457e-17
107.0,6.938893903907228e-18
108.0,0.0
109.0,0.0
110.0,1.3877787807814457e-17
111.0,-1.0408340855860843e-17
112.0,1.3877787807814457e-17
113.0,1.734723475976807e-17
114.0,3.469446951953614e-18
115.0,1.0408340855860843e-17
116.0,1.734723475976807e-17
117.0,6.938893903907228e-18
118.0,0.0
119.0,1.3877787807814457e-17
120.0,5.204170427930421e-18
121.0,3.469446951953614e-18
122.0,-3.469446951953614e-18
123.0,1.734723475976807e-18
124.0,-3.469446951953614e-18
125.0,5.204170427930421e-18
126.0,4.336808689942018e-18
127.0,2.6020852139652106e-18
128.0,8.673617379884035e-19
129.0,8.673617379884035e-19
130.0,-2.168404344971009e-19
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,0.0
144.0,0.0
145.0,0.0
146.0,0.0
147.0,0.0
148.0,0.0
149.0,0.0
