x,y
1.0,-0.4477619598161291
2.0,-0.4466537388519786
3.0,-0.4455279035482344
4.0,-0.44438439628093884
5.0,-0.44322315815642943
6.0,-0.44204412899928563
7.0,-0.44084724734000097
8.0,-0.43963245040236854
9.0,-0.43839967409057595
10.0,-0.4371488529760006
11.0,-0.4358799202836985
12.0,-0.4345928078785828
13.0,-0.43328744625127724
14.0,-0.4319637645036454
15.0,-0.43062169033398073
16.0,-0.4292611500218546
17.0,-0.42788206841260706
18.0,-0.42648436890148256
19.0,-0.425067973417385
20.0,-0.42363280240626616
21.0,-0.42217877481411104
22.0,-0.42070580806953406
23.0,-0.419213818065959
24.0,-0.417702719143384
25.0,-0.416172424069712
26.0,-0.41462284402163974
27.0,-0.41305388856509695
28.0,-0.41146546563521585
29.0,-0.40985748151581936
30.0,-0.40822984081843106
31.0,-0.40658244646076835
32.0,-0.404915199644724
33.0,-0.4032279998338157
34.0,-0.40152074473008964
35.0,-0.39979333025045993
36.0,-0.39804565050247254
37.0,-0.3962775977594777
38.0,-0.39448906243518955
39.0,-0.39267993305761645
40.0,-0.3908500962423529
41.0,-0.3889994366651943
42.0,-0.3871278370340818
43.0,-0.3852351780603304
44.0,-0.38332133842914434
45.0,-0.3813861947693711
46.0,-0.3794296216224995
47.0,-0.37745149141085577
48.0,-0.3754516744049888
49.0,-0.3734300386902074
50.0,-0.3713864501322541
51.0,-0.3693207723420801
52.0,-0.36723286663969823
53.0,-0.36512259201707953
54.0,-0.36298980510007084
55.0,-0.3608343601092927
56.0,-0.35865610881999105
57.0,-0.3564549005208051
58.0,-0.3542305819714182
59.0,-0.3519829973590529
60.0,-0.3497119882537712
61.0,-0.34741739356254175
62.0,-0.34509904948203474
63.0,-0.34275678945009086
64.0,-0.3403904440958352
65.0,-0.3379998411883727
66.0,-0.3355848055840298
67.0,-0.3331279757319005
68.0,-0.3306654160684097
69.0,-0.3281780559754941
70.0,-0.32566571942907174
71.0,-0.32312822784975226
72.0,-0.3205801870893194
73.0,-0.3179846488570243
74.0,-0.3153626436057008
75.0,-0.31271464847053565
76.0,-0.31003974524873046
77.0,-0.3073646931260294
78.0,-0.3046458954888236
79.0,-0.3018806193953702
80.0,-0.2991033652353494
81.0,-0.29629866069815897
82.0,-0.2934662754468247
83.0,-0.29060597505330676
84.0,-0.2877378943773279
85.0,-0.28482408158437167
86.0,-0.2818818576248949
87.0,-0.27891098582763174
88.0,-0.27591122584852346
89.0,-0.27288233361597714
90.0,-0.26982406127537306
91.0,-0.26673615713285703
92.0,-0.26359553583968287
93.0,-0.26044513254134327
94.0,-0.25726412914471575
95.0,-0.2540522451023337
96.0,-0.2508091949125845
97.0,-0.24753468800954323
98.0,-0.24422842864929994
99.0,-0.2408901157926564
