x,y
1.0,-0.15698803764425012
2.0,-0.1570108317102128
3.0,-0.15703388937523746
4.0,-0.1570572035658693
5.0,-0.15708076718954475
6.0,-0.1571045731332107
7.0,-0.15712861426193472
8.0,-0.15715288341750575
9.0,-0.15717737341702367
10.0,-0.1572020770514785
11.0,-0.1572269870843181
12.0,-0.15725209625000375
13.0,-0.15727739725255346
14.0,-0.15730288276407217
15.0,-0.15732854542326816
16.0,-0.1573543778339556
17.0,-0.1573803725635421
18.0,-0.15740652214150094
19.0,-0.15743281905782738
20.0,-0.15745925576147818
21.0,-0.15748582465879396
22.0,-0.15751251811190387
23.0,-0.15753932843711096
24.0,-0.15756624790325915
25.0,-0.1575932687300794
26.0,-0.1576203830865156
27.0,-0.15764758308902901
28.0,-0.15767486079988002
29.0,-0.15770220822538739
30.0,-0.15772961731416327
31.0,-0.15775707995532395
32.0,-0.15778458797667458
33.0,-0.15781213314286813
34.0,-0.1578397071535367
35.0,-0.15786730164139468
36.0,-0.15789490817031313
37.0,-0.15792251823336345
38.0,-0.1579501232508309
39.0,-0.1579777145681952
40.0,-0.15800528345407852
41.0,-0.15803282109815894
42.0,-0.15806031860904907
43.0,-0.15808776701213784
44.0,-0.15811515724739478
45.0,-0.15814248016713553
46.0,-0.1581697265337476
47.0,-0.15819688701737428
48.0,-0.15822395219355634
49.0,-0.15825091254082976
50.0,-0.15827775843827802
51.0,-0.15830448016303744
52.0,-0.1583310678877548
53.0,-0.15835751167799467
54.0,-0.15838380148959566
55.0,-0.15840992716597396
56.0,-0.15843587843537182
57.0,-0.1584616449080502
58.0,-0.1584872160734232
59.0,-0.15851258129713228
60.0,-0.15853772981805972
61.0,-0.1585626507452773
62.0,-0.15858733305493
63.0,-0.15861176558705165
64.0,-0.15863593704231121
65.0,-0.15865983597868646
66.0,-0.15868345080806365
67.0,-0.15870676979276077
68.0,-0.15872978104197139
69.0,-0.15875247250812707
70.0,-0.15877483198317613
71.0,-0.15879684709477496
72.0,-0.15881850530239022
73.0,-0.15883979389330904
74.0,-0.1588606999785531
75.0,-0.15888121048869538
76.0,-0.15890131216957476
77.0,-0.1589209915779064
78.0,-0.15894023507678373
79.0,-0.1589590288310695
80.0,-0.1589773588026711
81.0,-0.1589952107456976
82.0,-0.15901257020149423
83.0,-0.15902942249354954
84.0,-0.15904575272227287
85.0,-0.1590615457596362
86.0,-0.15907678624367672
87.0,-0.15909145857285564
88.0,-0.15910554690026832
89.0,-0.1591190351277006
90.0,-0.15913190689952678
91.0,-0.1591441455964435
92.0,-0.15915573432903435
93.0,-0.15916665593115964
94.0,-0.15917689295316492
95.0,-0.15918642765490282
96.0,-0.15919524199856183
97.0,-0.15920331764129478
98.0,-0.1592106359276415
99.0,-0.15921717788173717
