x,y
250.0,4.210005278346314e-05
249.5,-0.14556677763700612
249.0,-0.14471041576291108
248.5,-0.13322285912683762
248.0,-0.1325657394569214
247.5,-0.12949511344814857
247.0,-0.12318181308051586
246.5,-3.1894755192696135e-05
246.0,7.150162530288527e-06
245.5,7.152170114089459e-06
245.0,7.154155954030319e-06
244.5,7.156120279120943e-06
244.0,7.158063314171656e-06
243.5,7.15998528311811e-06
243.0,7.161886406617214e-06
242.5,7.163766903426108e-06
242.0,7.165626989237524e-06
241.5,7.167466877701704e-06
241.0,7.1692867804573165e-06
240.5,7.171086906037887e-06
240.0,-4.735922910735173e-06
239.5,-4.72664493052305e-06
239.0,-4.717346444145759e-06
238.5,-1.0051697674137374e-05
238.0,-1.005083620311506e-05
237.5,-1.0049972855938218e-05
237.0,-1.0049107627989933e-05
236.5,-1.1231995287532337e-05
236.0,-1.1232234178063504e-05
235.5,-1.1232473821245907e-05
235.0,-1.1232714220750677e-05
234.5,-1.123295538008148e-05
234.0,-1.1233197303296143e-05
233.5,-1.1233439993946085e-05
233.0,-6.037479541666572e-06
232.5,-6.037512714339963e-06
232.0,-2.7015923416717566e-06
231.5,-2.699982537502184e-06
231.0,-2.698369493543614e-06
230.5,-4.042356614621234e-06
230.0,-4.028694842078093e-06
229.5,-4.014964545126724e-06
229.0,-4.001165379635992e-06
228.5,-3.987296996536994e-06
228.0,-3.973359053825367e-06
227.5,-3.959351201532461e-06
227.0,-3.945273095096179e-06
226.5,-3.931124387068973e-06
226.0,-3.916904728161682e-06
225.5,-3.902613770265783e-06
225.0,-3.888251166668016e-06
224.5,-3.873816567663316e-06
224.0,-3.8593096231313065e-06
223.5,-3.844729986631283e-06
223.0,-3.83007730530875e-06
222.5,-3.815351231249547e-06
222.0,-3.800551416092711e-06
221.5,-3.7856775066445234e-06
221.0,-3.7707291547387252e-06
220.5,-3.7557060128391798e-06
220.0,-3.740607727609132e-06
219.5,-3.7254339497931546e-06
219.0,-3.7101843338021723e-06
218.5,-3.694858525192619e-06
218.0,-3.679456178732087e-06
217.5,-3.6639769427842924e-06
217.0,-3.648420470064358e-06
216.5,-3.6327864138254373e-06
216.0,-3.617074423273345e-06
215.5,-3.601284154332582e-06
215.0,-3.5854152587010956e-06
214.5,-4.341722555945083e-06
214.0,-4.328634688794911e-06
213.5,-4.315476611534514e-06
213.0,-4.302247922058139e-06
212.5,-4.288948214863651e-06
212.0,-4.275577086943796e-06
211.5,-4.210811703036739e-06
211.0,-4.202482039834361e-06
210.5,-4.194125562368252e-06
210.0,-4.185742184224457e-06
209.5,-4.177331818548485e-06
209.0,-4.1688943796726975e-06
208.5,-4.16042978006921e-06
208.0,-4.151937934030815e-06
207.5,-4.143418753893204e-06
207.0,-4.134872154573275e-06
206.5,-4.126298046056024e-06
206.0,-4.117696344939067e-06
205.5,-4.1090669626157095e-06
205.0,-4.100409812097486e-06
204.5,-4.0917248075301436e-06
204.0,-4.083011860428912e-06
203.5,-4.0742708854553576e-06
203.0,-4.065501794689005e-06
202.5,-4.056704501053632e-06
202.0,-4.047878916916996e-06
201.5,-4.039024957648692e-06
201.0,-4.03014253409366e-06
200.5,-4.021231559725137e-06
200.0,-4.012291947466093e-06
199.5,-4.00332361119092e-06
199.0,-3.9943264634362245e-06
198.5,-3.9853004169534775e-06
198.0,-3.976245384547905e-06
197.5,-3.967161281297348e-06
197.0,-3.958048017826482e-06
196.5,-3.948905509760261e-06
196.0,-3.9397336699372434e-06
195.5,-3.93053241088017e-06
195.0,-3.9213016448351115e-06
194.5,-3.864179304695994e-06
194.0,-3.859938545682309e-06
193.5,-5.045912965124025e-06
193.0,-5.043739704263167e-06
192.5,-5.041558165651324e-06
192.0,-5.039368307312536e-06
191.5,-5.037170086277171e-06
191.0,-5.034963460183958e-06
190.5,-5.032748386409539e-06
190.0,-5.030524820696071e-06
189.5,-5.028292720807772e-06
189.0,-5.02605204180187e-06
188.5,-5.023802740306405e-06
188.0,-5.021544772032059e-06
187.5,-5.0192780921195605e-06
187.0,-5.017002656520432e-06
186.5,-5.01471841941781e-06
186.0,-5.012425336072271e-06
185.5,-5.010123360485193e-06
185.0,-5.007812446480949e-06
184.5,-5.005492548418963e-06
184.0,-5.003163620226983e-06
183.5,-5.0008256146675666e-06
183.0,-4.9984784852623925e-06
182.5,-4.996122184788461e-06
182.0,-4.99375666489155e-06
181.5,-4.99138187900206e-06
181.0,-4.98899777797887e-06
180.5,-4.986604314482303e-06
180.0,-4.984201440012937e-06
179.5,-4.981789104556331e-06
179.0,-4.9793672594526096e-06
178.5,-4.976935855686597e-06
178.0,-4.974494843285655e-06
177.5,-4.97204417198821e-06
177.0,-4.556420919784176e-06
176.5,-4.544569181019788e-06
176.0,-4.532626669429003e-06
175.5,-4.520592543485283e-06
175.0,-4.508465953657323e-06
174.5,-4.496246042544609e-06
174.0,-4.483931945624229e-06
173.5,-4.471522791044269e-06
173.0,-4.459017697140009e-06
172.5,-4.4464157781006755e-06
172.0,-4.4337161338465006e-06
171.5,-4.420917864130843e-06
171.0,-4.408020054694614e-06
170.5,-4.395021785312471e-06
170.0,-4.381922130447231e-06
169.5,-4.368720150933376e-06
169.0,-4.355414906156622e-06
168.5,-4.342005439096196e-06
168.0,-4.328490794138043e-06
167.5,-4.314870001762577e-06
167.0,-4.301142085104222e-06
166.5,-4.287306059790455e-06
166.0,-4.273360935000327e-06
165.5,-4.259305707394864e-06
165.0,-4.2451393713241705e-06
164.5,-4.23086090824884e-06
164.0,-4.2164692938991124e-06
163.5,-4.201963497214222e-06
163.0,-4.18734247370179e-06
162.5,-4.62534570992906e-06
162.0,-4.612351248581584e-06
161.5,-4.599261614255424e-06
161.0,-4.5860759877358584e-06
160.5,-4.572793541479892e-06
160.0,-4.559413441583907e-06
159.5,-4.545934847811303e-06
159.0,-4.5323569150403015e-06
158.5,-4.5186787894622475e-06
158.0,-4.5048996102792565e-06
157.5,-4.491018514013601e-06
157.0,-4.477034626796998e-06
156.5,-4.462947070108582e-06
156.0,-4.448754959307527e-06
155.5,-4.434457400981075e-06
155.0,-4.420053500064538e-06
154.5,-4.405542350977279e-06
154.0,-4.390923041944233e-06
153.5,-4.376194656119209e-06
