x,y
250.0,0.010014212180974107
249.5,0.010029828726090099
249.0,0.009978203810592038
248.5,0.00996148147324307
248.0,0.009937516497610446
247.5,0.0006517757311603082
247.0,0.0014636481274389605
246.5,3.9562571290025105e-05
246.0,2.9791688146526263e-05
245.5,2.9792102133943144e-05
245.0,2.9792517973292044e-05
244.5,2.9792935676812498e-05
244.0,2.9793355256938095e-05
243.5,2.9793776726231846e-05
243.0,2.9794200097560984e-05
242.5,2.979462538341553e-05
242.0,2.979505259694162e-05
241.5,2.979548175098323e-05
241.0,2.9795912858800447e-05
240.5,2.9796345933625567e-05
240.0,2.8237125960049747e-05
239.5,2.823753794530833e-05
239.0,2.823795182955089e-05
238.5,2.3197841363815934e-05
238.0,2.3198151379576796e-05
237.5,2.3198462849248295e-05
237.0,2.31987757829176e-05
236.5,1.2550494826943172e-05
236.0,1.2550645070076934e-05
235.5,1.2550796034418541e-05
235.0,1.2550947725024738e-05
234.5,1.2551100147005517e-05
234.0,1.2551253305815312e-05
233.5,1.2551407206601931e-05
233.0,1.2559250559628556e-05
232.5,1.2559422329462251e-05
232.0,1.2566987563692591e-05
231.5,1.2567177045705645e-05
231.0,1.2567367437280248e-05
230.5,1.2579507788574826e-05
230.0,1.2579725731854716e-05
229.5,1.2579944715165623e-05
229.0,1.2580164745877137e-05
228.5,1.2580385831531837e-05
228.0,1.2580607979629925e-05
227.5,1.2580831197770782e-05
227.0,1.2581055493556082e-05
226.5,1.2581280874878305e-05
226.0,1.2581507349460646e-05
225.5,1.2581734925220048e-05
225.0,1.2581963610204762e-05
224.5,1.2582193412390102e-05
224.0,1.2582424340074081e-05
223.5,1.2582656401169127e-05
223.0,1.2582889604183332e-05
222.5,1.2583123957553287e-05
222.0,1.2583359469531723e-05
221.5,1.2583596148715384e-05
221.0,1.2583834003807394e-05
220.5,1.2584073043475341e-05
220.0,1.2584313276454704e-05
219.5,1.2584554711759757e-05
219.0,1.258479735808971e-05
218.5,1.258504122484888e-05
218.0,1.258528632086724e-05
217.5,1.2585532655506044e-05
217.0,1.2585780238211038e-05
216.5,1.2586029078167084e-05
216.0,1.2586279184984963e-05
215.5,1.2586530568339142e-05
215.0,1.2586783237875007e-05
214.5,1.115199251965354e-05
214.0,1.1152221563305394e-05
213.5,1.115245178687264e-05
213.0,1.1152683199271818e-05
212.5,1.1152915809626799e-05
212.0,1.1153149627301454e-05
211.5,1.487037594205755e-05
211.0,1.487066985923666e-05
210.5,1.4870965326565784e-05
210.0,1.4871262356089333e-05
209.5,1.4871560960106585e-05
209.0,1.4871861151122291e-05
208.5,1.487216294163365e-05
208.0,1.4872466344296295e-05
207.5,1.4872771371848143e-05
207.0,1.4873078037303615e-05
206.5,1.4873386353735852e-05
206.0,1.487369633434772e-05
205.5,1.4874007992495812e-05
205.0,1.4874321341776827e-05
204.5,1.4874636395631927e-05
204.0,1.48749531679534e-05
203.5,1.4875271672778592e-05
203.0,1.4875591923992566e-05
202.5,1.4875913935955301e-05
202.0,1.4876237722985954e-05
201.5,1.487656329973439e-05
201.0,1.487689068080098e-05
200.5,1.4877219881108059e-05
200.0,1.4877550915615212e-05
199.5,1.4877883799503107e-05
199.0,1.4878218548257139e-05
198.5,1.4878555177393572e-05
198.0,1.4878893702317246e-05
197.5,1.4879234139188448e-05
197.0,1.4879576504047143e-05
196.5,1.4879920812969986e-05
196.0,1.488026708249581e-05
195.5,1.4880615329095082e-05
195.0,1.4880965569574715e-05
194.5,1.2192187512347283e-05
194.0,1.2192466535158688e-05
193.5,7.464527867272703e-06
193.0,7.4646945574664665e-06
