x,y
55.0,-0.5439187172218509
54.0,-0.5436680524151953
53.0,-0.5434128215275986
52.0,-0.543153084778028
51.0,-0.5428889290824788
50.0,-0.5426204720832442
49.0,-0.5423478667077074
48.0,-0.5420713063213213
47.0,-0.5417910305462122
46.0,-0.5414973288871483
45.0,-0.5412437601618482
44.0,-0.5409544667867893
43.0,-0.5406630237505103
42.0,-0.5403703067411267
41.0,-0.5400764256148401
40.0,-0.5397824693249547
39.0,-0.5394893657225567
38.0,-0.5391981864041149
37.0,-0.5389101645299771
36.0,-0.5386267144219035
35.0,-0.5383494530002005
34.0,-0.538080223080167
33.0,-0.5378211184887859
32.0,-0.5375745108806789
31.0,-0.5373430780209223
30.0,-0.5371298331540818
29.0,-0.5369381548848787
28.0,-0.536771816746522
27.0,-0.5366350153171136
26.0,-0.5365323953517483
25.0,-0.5364690699178367
24.0,-0.5364506329461377
23.0,-0.5364831609377715
22.0,-0.5365731998048301
21.0,-0.5367277319906607
20.0,-0.5369541181587736
19.0,-0.5372600069310686
18.0,-0.5376532055129543
17.0,-0.5381415037343956
16.0,-0.5387324442945185
15.0,-0.5394330331229967
14.0,-0.5402493861244821
13.0,-0.541186312546288
12.0,-0.5422468411731137
11.0,-0.5434317037499969
10.0,-0.5447388004378156
9.0,-0.5461626842229085
8.0,-0.5476941138723658
7.0,-0.5493197362567335
6.0,-0.5510219658104615
